ปี,ข้อที่,ประเภท,หมวดหมู่,โจทย์,ตัวเลือก ก,ตัวเลือก ข,ตัวเลือก ค,ตัวเลือก ง,เฉลย,คำอธิบาย
ปี 2561,37,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,ผสม Na₂CO₃ 0.0800 M 75.0 cm³ กับ AgNO₃ 0.200 M 25.0 cm³ ได้ตะกอน Ag₂CO₃ หลังปฏิกิริยาสมบูรณ์ สารตั้งต้นที่เหลือมีความเข้มข้นเท่าใด (mol/dm³),0.0100,0.0350,0.0467,0.0700,ข,"Na₂CO₃=0.006 mol, AgNO₃=0.005 mol. 2Ag⁺+CO₃²⁻→Ag₂CO₃: Ag⁺ หมด ใช้ CO₃²⁻ 0.0025. CO₃²⁻ เหลือ = 0.006−0.0025 = 0.0035 mol ในปริมาตรรวม 0.1 dm³ = 0.035 M → ข้อ ข"
ปี 2561,38,ปรนัย (MC),เทอร์โมเคมี,โลหะผสมประกอบด้วยอะลูมิเนียม สังกะสี ซิลิคอน และทองแดง ถ้าน าโลหะผสมนี้ 1000 mg มาละลายด้วย สารละลายกรดไฮโดรคลอริกมากเกินพอ จะเกิดแก๊สไฮโดรเจนปริมาตร 448 cm3 ที่ STP และมีของแข็ง เหลืออยู่ 350 mg ซึ่งประกอบด้วยซิลิคอนและทองแดง ข้อใดคือร้อยละโดยมวลของอะลูมิเนียมในโลหะผสม,17.0,24.9,31.3,36.4,ค,เมื่อ [Zn²⁺]/[Cu²⁺] = 1 ค่า Q = 1 และ log Q = 0 จากสมการ Nernst: E = E° - (0.0592/n)log Q = E° ดังนั้นค่า E ของเซลล์เท่ากับ E°cell พอดี ข้อ ค ถูกต้อง
ปี 2561,39,ปรนัย (MC),สารละลาย,แก๊ส A ปริมาตร 500 cm³ ที่ 27°C และ 2.0 atm มีจำนวนโมเลกุลเท่าใด,2.43 × 10²²,1.21 × 10²²,4.87 × 10²²,6.02 × 10²²,ก,n = PV/RT = (2.0×0.500)/(0.082×300) = 1.0/24.6 = 0.0407 mol | N = 0.0407 × 6.022×10²³ = 2.45×10²² ≈ ข้อ ก
ปี 2561,40,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,3NaBH₄ + 4BF₃ → 3NaBF₄ + 2B₂H₆ (ผลได้ร้อยละ 70) ต้องการ B₂H₆ 0.210 mol ต้องใช้ NaBH₄ กี่โมล (BF₃ มากเกินพอ),0.200,0.220,0.300,0.450,ง,B₂H₆ ทฤษฎี = 0.210/0.70 = 0.300 mol. อัตราส่วน NaBH₄:B₂H₆ = 3:2 → NaBH₄ = 0.300×3/2 = 0.450 mol → ข้อ ง
ปี 2561,41,ปรนัย (MC),สารละลาย,โซเดียมเอไซด์ (NaN3) เป็นสารที่บรรจุในถุงลมนิรภัยในรถยนต์ แรงกระแทกเมื่อรถชนกันจะท าให้ NaN3 สลายตัวได้ผลิตภัณฑ์เป็นแก๊สไนโตรเจนและโลหะโซเดียม แก๊สไนโตรเจนที่เกิดขึ้นจะท าให้ถุงลมนิรภัยพองขึ้น อย่างรวดเร็ว และป้องกันไม่ให้ผู้ขับกระแทกกับพวงมาลัยรถ ส่วนโลหะโซเดียมอาจเกิดการระเบิดได้เมื่อสัมผัส กับควา,39,49,52,59,ข,ทั้งข้อ ข (อุณหภูมิสูงกว่ามีพลังงานเฉลี่ยสูงกว่า ตามทฤษฎี Maxwell-Boltzmann) และข้อ ค (โมเลกุลในกลุ่มเดียวกันมีพลังงานไม่เท่ากัน เพราะมีการกระจายพลังงาน) ล้วนถูกต้องทั้งคู่ จึงตอบข้อ ง
ปี 2561,42,ปรนัย (MC),สารละลาย,แร่ Trona มีสูตรเคมีเป็น Na2CO3NaHCO32H2O และมีมวลสูตรเท่ากับ 226 จะต้องใช้สารละลาย HCl เข้มข้น 0.125 mol/dm3 กี่ลูกบาศก์เซนติเมตร ในการเปลี่ยนคาร์บอเนตและไบคาร์บอเนตในตัวอย่างแร่ 0.452 g ไปเป็นคาร์บอนไดออกไซด์และน้ าอย่างสมบูรณ์ ก าหนดให้ HCO  3 (aq) + H+(aq) → CO2(g) + H2O(l) CO  23 (aq) + 2H+,16.0,32.0,48.0,64.0,ง,แก๊สที่มีจุดเดือดสูงกว่ามีแรงดึงดูดระหว่างโมเลกุลมากกว่า จากกราฟ แก๊ส A มีพฤติกรรมเบี่ยงเบนจากแก๊สอุดมคติมากกว่าในลักษณะที่บ่งชี้ถึงจุดเดือดสูงกว่า ข้อ ง ถูกต้องเพราะ A มีแรงดึงดูดระหว่างโมเลกุลมากกว่า
ปี 2561,43,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,4KO₂ + 2CO₂ → 2K₂CO₃ + 3O₂ ให้ CO₂ 336 cm³ ทำปฏิกิริยากับ KO₂ 0.710 g ปริมาตรสูงสุดของ O₂ ที่ STP เป็นกี่ cm³,168,224,299,504,ก,"CO₂=336/22400=0.015 mol, KO₂=0.710/71=0.010 mol. ต้องการ CO₂=KO₂/2=0.005 (มีพอ) → KO₂ เป็นตัวกำหนด. O₂=0.010×3/4=0.0075 mol=168 cm³ → ข้อ ก"
ปี 2561,44,ปรนัย (MC),สารละลาย,สารละลายกรด A เข้มข้น 12.0 mol/dm³ มีกรด A ร้อยละ 75.0 โดยมวล ความหนาแน่น 1.57 g/cm³ กรด A ควรเป็นกรดชนิดใด,HCl,HBr,CH₃COOH,H₃PO₄,ง,"ใน 1 dm³: มวลสารละลาย = 1570 g, มวลกรด = 1570×0.75 = 1177.5 g. มวลโมเลกุล = 1177.5/12.0 ≈ 98 = H₃PO₄ → ข้อ ง"
ปี 2561,45,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,ผสม Na₂SO₄ 0.10 M 20 cm³ กับ Na₃PO₄ 0.30 M 50 cm³ ความเข้มข้นของ Na⁺ เป็นเท่าใด (mol/dm³),0.017,0.049,0.24,0.70,ง,Na⁺ จาก Na₂SO₄ = 2×0.10×0.020 = 0.004 mol; จาก Na₃PO₄ = 3×0.30×0.050 = 0.045 mol. รวม = 0.049 mol ในปริมาตร 0.070 dm³ = 0.70 M → ข้อ ง
ปี 2561,46,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,MnO₂ + 4HCl → Cl₂ + MnCl₂ + 2H₂O ต้องการ Cl₂ 3.55 g เมื่อปฏิกิริยาสมบูรณ์ HCl ทำปฏิกิริยาไปกี่กรัม,7.30,10.0,15.0,20.0,ก,Cl₂ = 3.55/71 = 0.05 mol. อัตราส่วน HCl:Cl₂ = 4:1 → HCl = 0.20 mol = 0.20×36.5 = 7.30 g → ข้อ ก
ปี 2561,47,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,"น้ำส้มสายชู CH₃COOH ร้อยละ 5.00 โดยมวล (ρ=1.15 g/cm³) 200 cm³ ทำปฏิกิริยากับ NaHCO₃ 4.200 g สารละลายที่ได้มี CH₃COOH เข้มข้นเท่าใด (mol/dm³, ปริมาตรไม่เปลี่ยน)",0.583,0.708,0.833,0.958,ข,CH₃COOH = 200×1.15×0.05/60 = 0.1917 mol. NaHCO₃ = 4.200/84 = 0.05 mol (1:1). เหลือ = 0.1417 mol ใน 0.2 dm³ = 0.708 M → ข้อ ข
ปี 2561,48,ปรนัย (MC),สารละลาย,ถ้าต้องการเตรียมสารละลายที่มีความเข้มข้นของไฮดรอกไซด์ไอออนเท่ากับ 0.4016 mol/dm3 ปริมาตร 500.0 cm3 โดยใช้สารละลาย Ba(OH)2 เข้มข้น 342 ppm ซึ่งมีความหนาแน่น 1.00 g/cm3 ปริมาตร 200.0 cm3 ผสมกับสารละลาย NaOH เข้มข้นร้อยละ 32.0 โดยมวล ซึ่งมีความหนาแน่น 1.25 g/cm3 แล้วจึงปรับ ปริมาตรของสารละลายเป็น 500 c,2.05,6.40,20.0,31.2,ก,ก่อนถึงจุด X (equivalence point) HCl ยังเหลืออยู่ สารละลายจึงเป็นกรด ที่จุด X HCl และ NaOH ทำปฏิกิริยาสมบูรณ์ อุณหภูมิสูงสุดเกิดที่จุดสมมูลเพราะปฏิกิริยาสะเทินคายความร้อน ข้อ ง ถูกต้อง
ปี 2561,49,ปรนัย (MC),สารละลาย,ละลายสาร X 2.80 g ในเบนซีน 32.0 g มีจุดเดือดสูงกว่าเบนซีน 1.40°C มวลโมเลกุลของ X เป็นเท่าใด (Kb=2.53°C/m),24.7,87.5,158,221,ค,m = ΔTb/Kb = 1.40/2.53 = 0.5534. mol X = 0.5534×0.032 = 0.01771. M = 2.80/0.01771 = 158 → ข้อ ค
ปี 2561,50,ปรนัย (MC),สารละลาย,สารละลายในบีกเกอร์ที่ 1 คือ สารละลายของสาร M ในตัวท าละลาย A สารละลายนี้มีจุดเยือกแข็ง 2.0 oC สารละลายในบีกเกอร์ที่ 2 คือ สารละลายของสาร M ในตัวท าละลาย B ถ้ามวลของสาร M ในบีกเกอร์ทั้งสองเท่ากัน และมวลของตัวท าละลายในบีกเกอร์ทั้งสองเท่ากัน สารละลายใน บีกเกอร์ที่ 2 มีจุดเดือดเป็นกี่องศาเซลเซียส ก าหน,61.0,62.5,63.5,65.0,ง,คำนวณพลังงานแลตทิซจากวัฏจักรบอร์น-ฮาเบอร์: พลังงานแลตทิซ = ΔHf° - [ΔHsub + IE₁ + ½D(X₂) + EA] แทนค่าจากรูปได้พลังงานแลตทิซ = -800 kJ/mol
ปี 2561,51,ปรนัย (MC),สารละลาย,"ต้องเติมสาร X (180 g/mol) กี่กรัมในน้ำ 100 cm³ ที่ 25°C ให้จุดเดือดและจุดเยือกแข็งต่างกัน 109.48°C (Kf=1.86, Kb=0.51, ρ=1.00)",4.00,72.0,126,720,ข,ผลต่าง = (100+0.51m) − (0−1.86m) = 100 + 2.37m = 109.48 → m = 4.0. น้ำ 100 g = 0.1 kg → mol X = 0.4 → มวล = 0.4×180 = 72.0 g → ข้อ ข
ปี 2561,52,ปรนัย (MC),สารละลาย,ข้อความใดผิด,ในน้ าแข็งแห้ง โมเลกุลของคาร์บอนไดออกไซด์ยึดเหนี่ยวกันด้วยแรงดึงดูดระหว่างขั้ว,LiF(s) ประกอบด้วย Li+ ไอออนและ F– ไอออนยึดเหนี่ยวกันด้วยแรงดึงดูดระหว่างประจุไฟฟ้า,Kr(s) ประกอบด้วยอะตอมของคริปตอนซึ่งไม่มีขั้วยึดเหนี่ยวกันด้วยแรงลอนดอน มีสมบัติเหมือนผลึก โมเลกุล,พันธะระหว่างอะตอมของทองค าเกิดจากแรงยึดเหนี่ยวระหว่างเวเลนซ์อิเล็กตรอนที่เคลื่อนที่ได้อย่างอิสระ กับโปรตอนในนิวเคลียสทุก,ข,จากตารางสมบัติ D มีจุดหลอมเหลวสูงมาก ไม่นำไฟฟ้าแม้หลอมเหลว และมีความแข็งสูง ลักษณะเหล่านี้เป็นของโคเวเลนต์โครงร่างตาข่าย (covalent network solid) เช่น เพชรหรือ SiO₂ ข้อ ง ถูกต้อง
ปี 2561,53,ปรนัย (MC),สมดุลเคมี,"พิจารณาสารต่อไปนี้ : C2H2, SiO2, CsI, W ข้อความใดผิด",W น าไฟฟ้าเมื่อมีสถานะเป็นของแข็ง,C2H2 มีสถานะเป็นแก๊สที่อุณหภูมิห้อง,CsI ละลายในน้ า ได้สารละลายที่น าไฟฟ้าได้,SiO2 มีจุดหลอมเหลวสูงกว่า C2H2 เนื่องจาก SiO2 มีแรงยึดเหนี่ยวระหว่างโมเลกุลเป็นแรงดึงดูดระหว่างขั้ว,ค,จุดวิกฤต (critical point) คือจุดที่อุณหภูมิและความดันสูงสุดที่ยังสามารถแยกแยะของเหลวและแก๊สได้ จากแผนภาพเฟส จุดวิกฤตอยู่ที่อุณหภูมิ T3 ซึ่งเป็นจุดปลายของเส้นโค้งระหว่างของเหลวกับแก๊ส ข้อ ง ถูกต้อง
ปี 2561,54,ปรนัย (MC),สมดุลเคมี,สารละลาย NaOH เข้มข้น 2.00 mol/dm³ ปริมาตร 500 cm³ ต้องการกรด H₂SO₄ กี่ mol เพื่อทำปฏิกิริยาพอดี,0.500 mol,1.00 mol,0.250 mol,2.00 mol,ก,2NaOH + H₂SO₄ → Na₂SO₄ + 2H₂O | n(NaOH) = 2.00×0.500 = 1.00 mol | n(H₂SO₄) = 1.00/2 = 0.500 mol → ข้อ ก
ปี 2561,55,ปรนัย (MC),สมดุลเคมี,"ที่อุณหภูมิ 25 oC สาร A, B และ C มีสถานะเป็นแก๊ส ของเหลว และของแข็ง ตามล าดับ จุดหลอมเหลวและจุดเดือดของสารทั้งสามในข้อใดเป็นไปได้ จุดเดือด (oC) จุดหลอมเหลว (oC) A B C A B C",–42 98 330 –188 –91 40,–42 330 98 –188 32 –91,98 –42 330 –91 –8.8 40,330 98 –42 32 –91 –188,ก,ที่อุณหภูมิ T1 เส้นกราฟของสาร A อยู่เหนือสาร B แสดงว่า A มีความดันไอสูงกว่า B ที่อุณหภูมิเดียวกัน ข้อ ค ถูกต้อง นั่นหมายความว่า A ระเหยง่ายกว่าและมีจุดเดือดต่ำกว่า B
ปี 2561,56,ปรนัย (MC),สมดุลเคมี,สารละลายที่ประกอบด้วย NaCl 58.5 g และ KCl 74.6 g ในน้ำ 1.00 kg มีจุดเยือกแข็งกี่องศาเซลเซียส (Kf = 1.86°C/m),-5.58°C,-7.44°C,-3.72°C,-11.16°C,ก,NaCl: 1.00 mol (i=2) → 2 mol particles | KCl: 1.00 mol (i=2) → 2 mol particles | รวม = 4 mol/kg | ΔTf = 1.86×4 = 7.44°C → Tf = -7.44°C → ข้อ ก
ปี 2561,57,ปรนัย (MC),สมดุลเคมี,ข้อใดถูกต้องเกี่ยวกับสมบัติของแก๊สตามทฤษฎีจลน์,โมเลกุลของแก๊สอุดมคติมีขนาดเล็กมากจนถือได้ว่ามีมวลเป็นศูนย์,ที่อุณหภูมิเดียวกัน โมเลกุลของแก๊ส A และแก๊ส B จะมีพลังงานจลน์เฉลี่ยเท่ากันเสมอ,แก๊สทั่วไปจะมีสมบัติใกล้เคียงกับแก๊สอุดมคติมากที่สุด ถ้าอยู่ในภาวะที่มีความดันสูงและอุณหภูมิต่ า,ถ้าลดอุณหภูมิของแก๊สจาก 100 oC เป็น 50 oC โดยที่ปริมาตรคงที่ ความดันของแก๊สจะเพิ่มขึ้นเป็น 2 เท่า,ง,การลดจุดเยือกแข็ง ΔTf = iKf·m ขึ้นกับจำนวนอนุภาค i CaCl₂ แตกตัวให้ 3 อนุภาค (i=3) มากกว่า NaCl (i=2) และ C₆H₁₂O₆ (i=1) กราฟของ X ที่แสดงการลดจุดเยือกแข็งมากที่สุดสอดคล้องกับ i=3 จึงเป็น CaCl₂
ปี 2561,58,ปรนัย (MC),สมดุลเคมี,"พิจารณาไอของสารประกอบฟอสฟอรัสฟลูออไรด์สามชนิดคือ PF3, PF5 และ P2F4 ซึ่งมีสมบัติเป็นแก๊สอุดมคติ ไอของสารใดมีค่าความหนาแน่นเท่ากับ 4.60 g/L ที่ความดัน 0.82 atm และอุณหภูมิ 27 oC และถ้าปล่อยให้ ไอของสารทั้งสามชนิดผ่านท่อเล็ก ๆ ในสภาวะเดียวกัน ดังรูป ไอของสารใดแพร่จากจุด A ไปถึงจุด B ได้เร็วที่สุด สารที",PF5 PF3,PF5 P2F4,P2F4 PF3,P2F4 P2F4 A B,ข,ความดันออสโมติก π = iMRT แปรผันตรงกับความเข้มข้นโมลาร์ M กราฟที่แสดงเส้นตรงระหว่าง π กับ M พิสูจน์ความสัมพันธ์นี้ ข้อ ก ถูกต้อง
ปี 2561,59,ปรนัย (MC),สมดุลเคมี,แก๊สอุดมคติชนิดหนึ่ง มีความดัน 700 mmHg เมื่อปล่อยให้ฟุ้งกระจายที่อุณหภูมิเดิมจนกระทั่งความดันลดลง เป็น 200 mmHg อัตราส่วนระหว่างปริมาตรเดิมและปริมาตรใหม่เป็นเท่าใด,0.29 : 1,1 : 0.29,1 : 3.5,3.5 : 1,ค,Reverse osmosis ต้องใช้ความดันมากกว่าความดันออสโมติกเพื่อบังคับน้ำให้ไหลจากสารละลายเข้มข้นไปยังเจือจาง (ทิศทางตรงข้ามออสโมซิสปกติ) เมมเบรนยอมให้น้ำผ่านแต่ไม่ยอมให้ไอออนผ่าน ใช้กำจัดเกลือออกจากน้ำทะเล ข้อ ง ถูกต้อง
ปี 2561,60,ปรนัย (MC),สมดุลเคมี,ฟองอากาศฟองหนึ่งมีปริมาตร 2.10 cm3 ลอยจากก้นทะเลสาบซึ่งมีอุณหภูมิ 10 oC และความดัน 5.66 atm ขึ้นมายังผิวน้ าซึ่งมีอุณหภูมิ 27 oC และความดัน 1.00 atm ฟองอากาศนี้จะมีปริมาตรสุดท้ายเป็นกี่ลูกบาศก์ เซนติเมตร,4.40,11.2,12.6,32.1 ส่วนที่ II. ข้อสอบอัตนัยแบบเขียนตอบ จ านวน 15 ข้อ ข้อละ 2 คะแนน รวม 30 คะแนน จงเขียนค าตอบลงในช่องว่างที่ก าหนดให้ใ,ก,การผุกร่อนของเหล็กเป็นกระบวนการอิเล็กโทรเคมี บริเวณ A ที่เหล็กสัมผัสกับสารละลายอิเล็กโทรไลต์โดยตรงเกิดออกซิเดชัน: Fe → Fe²⁺ + 2e⁻ (แอโนด) อิเล็กตรอนไหลไปยังบริเวณแคโทดที่เกิดรีดักชัน
ปี 2562,1,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ข้อใดถูกต้องเกี่ยวกับจำนวนอนุภาคของ ¹²⁰₅₀Sn และ ¹²⁴₅₄Xe,จำนวนนิวตรอนห่างกัน 4 นิวตรอน,จำนวนโปรตอนของ Sn มากกว่าของ Xe,จำนวนอิเล็กตรอนของ Xe มากกว่าของ Sn ถึง 8 อิเล็กตรอน,จำนวนอิเล็กตรอนไม่เท่ากัน จำนวนนิวตรอนเท่ากัน และจำนวนโปรตอนไม่เท่ากัน,ง,"Sn-120: p=50, n=70, e=50. Xe-124: p=54, n=70, e=54. นิวตรอนของทั้งคู่ = 70 เท่ากัน แต่โปรตอนและอิเล็กตรอนต่างกัน → ข้อ ง ถูก"
ปี 2562,2,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,คลื่นแม่เหล็กไฟฟ้าในข้อใดมีพลังงานมากที่สุด,ความถี่ 4.0×10^12 s⁻¹,พลังงาน 3.3×10⁻²³ J,ความยาวคลื่น 400 nm,ความยาวคลื่น 300 nm,ง,"E=hf หรือ E=hc/λ. λ=300 nm ให้ E≈6.6×10⁻¹⁹ J ซึ่งมากที่สุด (เทียบ: 400 nm≈5.0×10⁻¹⁹, f=4×10¹²→E≈2.6×10⁻²¹, และ 3.3×10⁻²³ J). ความยาวคลื่นสั้นที่สุดให้พลังงานมากสุด"
ปี 2562,3,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ในการกระตุ้นอิเล็กตรอนของธาตุ A จาก n=3 ไป n=4 ต้องใช้แสงความยาวคลื่น 600 nm ถ้าต้องการกระตุ้นจาก n=2 ไป n=3 ต้องใช้แสงความยาวคลื่นดังข้อใด,น้อยกว่า 600 nm,มากกว่า 600 nm,เท่ากับ 600 nm,เท่ากับ 600 nm และเพิ่มจำนวนหลอดไฟ,ก,ช่องว่างพลังงานระหว่างระดับต่ำ (2→3) มากกว่าระดับสูง (3→4) จึงต้องใช้พลังงานมากกว่า → ความยาวคลื่นสั้นกว่า (น้อยกว่า 600 nm)
ปี 2562,4,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ข้อใดถูกเกี่ยวกับระดับพลังงานของออร์บิทัลในอะตอมต่าง ๆ,สำหรับ H อะตอม 2p มีพลังงานสูงกว่า 2s,สำหรับ S อะตอม 3p มีพลังงานสูงกว่า 3s,สำหรับ Ni อะตอม 3d มีพลังงานสูงกว่า 4p,สำหรับ Br อะตอม 3d มีพลังงานสูงกว่า 4p,ข,ในอะตอมที่มีหลายอิเล็กตรอน (เช่น S) 3p สูงกว่า 3s เสมอ. ส่วน H (1 อิเล็กตรอน) 2s กับ 2p พลังงานเท่ากัน; ใน Ni/Br ที่บรรจุ 3d แล้ว 3d จะต่ำกว่า 4p
ปี 2562,5,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ข้อใดถูกเกี่ยวกับธาตุที่มีเลขอะตอม 23 (V),อยู่ในหมู่เดียวกับธาตุเลขอะตอม 43,มีอิเล็กตรอนใน 3d ออร์บิทัล 3 อิเล็กตรอน,มีอิเล็กตรอนในระดับพลังงานไม่เกิน n=3,ถ้าเสีย 2 อิเล็กตรอน จะทำให้อิเล็กตรอนใน 3d ลดลง,ก,V (Z=23): [Ar]3d³4s². Tc (Z=43): [Kr]4d⁵5s² อยู่หมู่ 5B(VB) เดียวกับ V → ข้อ ก ถูก. (3d มี 3 e⁻ จริงแต่ b ถูกด้วยรูปคำ — ข้อสอบเฉลย ก เพราะการเสีย 2e⁻ จะเสีย 4s ก่อน 3d จึงข้อ ง ผิด; n สูงสุด=4 ข้อ ค ผิด)
ปี 2562,6,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ธาตุในข้อใดมีอิเล็กตรอนใน p หรือ d ออร์บิทัลที่มีพลังงานสูงสุดเพียงครึ่งเดียวทั้งสองธาตุ,Na และ P,Na และ Fe,P และ Mn,Mn และ Fe,ค,P: [Ne]3s²3p³ → 3p บรรจุครึ่ง (3 ใน 6). Mn: [Ar]3d⁵4s² → 3d บรรจุครึ่ง (5 ใน 10). ทั้งคู่ครึ่งพอดี → ข้อ ค
ปี 2562,7,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ธาตุที่มีการจัดเรียงอิเล็กตรอนในข้อใดรับอิเล็กตรอนได้ดีที่สุด,1s²2s²2p⁶3s²,1s²2s²2p⁶3s²3p¹,1s²2s²2p⁶3s²3p²,1s²2s²2p⁶3s²3p³,ค,"การรับอิเล็กตรอนได้ดี = สัมพรรคภาพอิเล็กตรอน (EA) สูง. 3p² (Si) รับ e⁻ ได้ดีกว่า 3p³ (P, กึ่งบรรจุเสถียร EA ต่ำ) และดีกว่า 3s²/3p¹ → ข้อ ค"
ปี 2562,8,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,"ค่าพลังงานไอออไนเซชัน IE₁–IE₆ ของธาตุ X คือ 590, 1150, 4920, 6480, 8150, 10500 kJ/mol ธาตุและสารประกอบของ X มีสมบัติตามข้อใด",ธาตุ X ไม่นำไฟฟ้า,สารประกอบของ X กับหมู่ 17 เป็นแก๊สที่อุณหภูมิห้อง,ออกไซด์ของ X มีอัตราส่วน X:O เป็น 1:1,เลขออกซิเดชันของ X ในธรรมชาติเป็นได้ทั้งบวกและลบ,ค,IE กระโดดมากระหว่าง IE₂(1150)→IE₃(4920) แสดงว่า X มีเวเลนซ์อิเล็กตรอน 2 ตัว = หมู่ 2 (เช่น Ca). ออกไซด์เป็น XO อัตราส่วน X:O = 1:1 → ข้อ ค
ปี 2562,9,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,การสลายตัวของนิวไคลด์กัมมันตรังสีในข้อใดถูกต้อง (ดูรูปประกอบ),α decay เพิ่มเลขอะตอม 2 และลดเลขมวล 4,β⁻ decay ทำให้เลขอะตอมเพิ่ม 1,γ decay เปลี่ยนแปลงเลขอะตอมและเลขมวล,α decay ลดเลขอะตอม 2 และเพิ่มเลขมวล 4,ข,β⁻ decay: นิวตรอน → โปรตอน + β⁻ ทำให้เลขอะตอมเพิ่ม 1 เลขมวลคงที่. α decay ลดเลขอะตอม 2 ลดเลขมวล 4. γ ไม่เปลี่ยน Z หรือ A
ปี 2562,10,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ธาตุในข้อใดมีสมบัติที่กำหนดถูกต้องทั้งหมด (ดูตารางประกอบ),N,Be,K,NH₃,ก,ดูตารางในรูปประกอบ
ปี 2562,11,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,สารในข้อใดทำปฏิกิริยากับน้ำที่อุณหภูมิห้องภายใต้ความดันบรรยากาศให้แก๊ส H₂,K,Be,Zn,NH₃,ก,"K (โลหะหมู่ 1) ทำปฏิกิริยากับน้ำเย็นรุนแรง: 2K + 2H₂O → 2KOH + H₂. Be ไม่ทำปฏิกิริยากับน้ำ, Zn ต้องใช้กรด/ไอน้ำร้อน, NH₃ ไม่ให้ H₂"
ปี 2562,12,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,พิจารณาปฏิกิริยา: I) Br₂+2K→2KBr  II) 2KBr+I₂→2KI+Br₂  III) Br₂+2NaCl→2NaBr+Cl₂ ผลที่เกิดข้อใดถูก,I และ II,II และ III,I และ III,I เท่านั้น,ง,ความว่องไวแฮโลเจน: F₂>Cl₂>Br₂>I₂. Br₂ แทนที่ I⁻ ได้ แต่แทนที่ Cl⁻ ไม่ได้; I₂ แทนที่ Br⁻ ไม่ได้. จึงเกิดเฉพาะ I → ข้อ ง
ปี 2562,13,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ข้อความเกี่ยวกับไฮโดรเจน: I) เป็นโมเลกุลอะตอมคู่พันธะเดี่ยว  II) EA สูง รับ e⁻ คายพลังงานมาก  III) กับ Na มีเลขออกซิเดชัน –1  IV) กับอโลหะมีเลขออกซิเดชัน +1  ข้อใดแสดงว่า H คล้ายธาตุหมู่ 17,"I, III และ IV","II, III และ IV",I และ III เท่านั้น,II และ IV เท่านั้น,ค,หมู่ 17 อยู่เป็นโมเลกุลอะตอมคู่พันธะเดี่ยว (I) และเกิดไอออน –1 กับโลหะ (III). EA ของ H ต่ำ (ไม่เหมือนหมู่17) และ +1 กับอโลหะเหมือนหมู่ 1 มากกว่า → ข้อ ค
ปี 2562,14,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ธาตุ X มีมวลอะตอมโดยประมาณ 36 เมื่อทำให้เป็นออกไซด์สูงสุด XO₂ และออกไซด์ต่ำสุด X₂O เลขออกซิเดชันของ X ในสาร XO₂ และ X₂O ตามลำดับคือข้อใด,"+4, +1","+6, +2","+4, –2","+2, –1",ก,"ใน XO₂: O มีเลขออกซิเดชัน –2, 2×(–2) = –4, ดังนั้น X = +4. ใน X₂O: 2X + (–2) = 0, X = +1. → +4 และ +1"
ปี 2562,15,ปรนัย (MC),พันธะเคมี,ข้อใดเกี่ยวกับ [Co(NH₃)₅Cl]Cl₂ ไม่ถูกต้อง,ประจุของไอออนเชิงซ้อนเท่ากับ +2,Co มีเลขออกซิเดชัน +3,ไอออนตรงข้าม (counter ion) คือ Cl⁻ ปรากฏ 2 ตัวต่อสูตร,Co มีพันธะโคออร์ดิเนตกับ N และ Br,ง,ใน [Co(NH₃)₅Cl]²⁺ Co เชื่อมกับ N (จาก NH₃) และ Cl ไม่มี Br ในสารนี้ → ข้อ ง ไม่ถูก
ปี 2562,16,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,จากสมการนิวเคลียร์ต่อไปนี้ ข้อใดถูกต้อง (ดูรูปประกอบ),ปฏิกิริยา I เป็น α decay,ปฏิกิริยา II เป็น β⁺ decay,ผลิตภัณฑ์ของปฏิกิริยา I คือ ⁴He,เลขอะตอมของผลิตภัณฑ์ใน II น้อยกว่าสารตั้งต้น 1,ง,"β⁻ decay: เลขอะตอมเพิ่ม 1, β⁺ decay: เลขอะตอมลด 1 → ในปฏิกิริยา β⁺ เลขอะตอมผลิตภัณฑ์น้อยกว่า 1"
ปี 2562,17,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,จากตารางแสดงการสลายตัวกัมมันตรังสีในข้อใดถูกต้อง (ดูตารางในรูป),"ก. a=90, b=2","ข. a=90, b=34","ค. a=94, b=2","ง. a=94, b=34",ข,ดูการอนุรักษ์เลขอะตอมและเลขมวลในตารางประกอบ
